Beit Lahem District , Population = 182000
Jayyous , 6000
Az Zawiya , 7000
Habla , 8000
Isla , 8000
Azzun , 12000
Qalqilya , 50000
Rafah District , Population = 78000
Al Musadar , 6000
Salatin , 7000
Kherbat al Adas , 8000
Yibna , 9000
Abasan al Kabira , 10000
Shawkah , 11000
Tel al Sultan , 12000
Bani Suheila , 15000
Ramallah District , Population = 286000
Jifna , 3000
Al-Janiya , 3000
Kafr Malik , 3000
Nabi Salih , 3000
Umm Safa , 3000
Beit Ur al-Fauqa , 4000
Beitin , 4000
Mazra'a ash Sharqiya , 4000
Sinjil , 4000
Deir Dibwan , 5000
Beit Liqya , 5000
Deir Jarir , 5000
Saffa , 5000
Rawabi , 5000
Kharbatha al-Misbah , 6000
Ein Yabrud , 6000
Taybeh , 6000
Kobar , 7000
Bir Zeit , 10000
Al-Jalazun Refugee Camp , 10000
Beitunia , 20000
Al Amari Refugee Camp , 25000
Qalandia Refugee Camp , 30000
al Bireh , 40000
Ramallah , 70000
Salfit District , Population = 43000
Khirbet Qana , 2000
Kafr ad Dik , 3000
Mas'ha , 3000
Bruqin , 5000
Haris , 5000
Deir Istiya , 7000
Kifl Haris , 8000
Salfit , 10000
Tul Karm District , Population = 140000
Attil , 2000
Iktaba , 3000
Bal'a , 4000
Shufa , 4000
Jalbun , 4000
Kafr Jammal , 5000
Nazlat 'Isa , 5000
Kufr al Labad , 5000
Kafr Zibad , 6000
Deir al Ghusun , 7000
Zeita , 7000
Far'un , 8000
Anabta , 10000
Tul Karm , 70000
